fund_code,transaction_date,apply_amt,redeem_amt,uv_key_page_1,uv_key_page_2,uv_key_page_3,dt
161028,20250304,28761.591914552828,29676.69838473572,70835.33880905708,2401.0,124149.32966232565,20250526
000086,20250304,6553.218137015933,47625.99250896146,7569.214616172158,5056.456361699173,6400.785559973587,20250526
000402,20250304,5283.82325377648,3271.3871835110713,3294.629235847154,2627.762833760424,3437.3273430733398,20250526
000965,20250304,12446.158223949,2408.7160406852454,5330.549755777192,2401.0,4279.387460962516,20250526
530028,20250304,39879.975913954935,24692.616244632252,9858.742168251705,5418.853039951812,8841.488334560083,20250526
000385,20250304,6873.388986161418,3749.7053225792206,2660.2584423366843,2459.633380691948,2935.7646889614985,20250526
001407,20250304,8504.139788605198,3397.96245370262,4441.15907757042,2401.0,6296.234471510836,20250526
000192,20250304,14658.029121872529,2560.0513705008166,3923.3486191704483,2745.7360214177165,4780.243688800961,20250526
164402,20250304,11649.409072943576,13033.959309480646,18044.103398102277,2401.0,47468.876963905845,20250526
166016,20250304,55314.49466358498,32569.092561372247,6406.436970160763,3560.245514644411,11146.557264654362,20250526
050027,20250304,32958.42746662132,14656.854780525315,13303.276677335281,5719.790632418917,12519.143513864654,20250526
100050,20250304,4396.699996226788,8685.481837372217,11831.790749849413,4877.730514529741,8775.084264860769,20250526
168204,20250304,10027.913307110235,9008.361550410677,11136.667296826805,2401.0,37463.7616537847,20250526
001480,20250304,22865.687796995335,21630.47067945898,10182.285401467512,2401.0,22435.95553981118,20250526
001016,20250304,7828.385618910796,4038.2262310422557,7588.288125553876,2401.0,7942.91411479915,20250526
001338,20250304,11411.615950100188,10837.652281686938,7833.418042422621,3911.3393725227,10378.671905471867,20250526
164906,20250304,13827.849715263896,54077.056419626395,55767.97282377333,2401.0,57054.3750676292,20250526
161024,20250304,9486.3198875895,11585.502947069976,14111.428334101403,2401.0,29588.521557955395,20250526
160717,20250304,2583.7920095007557,3435.356002978613,4573.967216969048,2401.0,5837.763820076209,20250526
001316,20250304,16472.06436141538,11955.245176395327,8821.708398904968,3825.1553671682714,11118.300213718485,20250526
001407,20250228,13572.80625930853,9908.840393994442,4480.012522607252,2401.0,6458.00608811874,20250526
161028,20250228,43293.261192156904,106452.18409796456,73092.37075256037,2401.0,131556.91556516616,20250526
168204,20250228,10157.620479349878,7593.757452204731,11330.93452201097,2401.0,40430.75200205193,20250526
164906,20250228,18536.590696021107,153037.2098427183,65443.18706421809,2401.0,63956.15975871749,20250526
001016,20250228,13063.498936220347,7473.408705431679,7945.739819892738,2401.0,8489.688050408397,20250526
001316,20250228,12018.837450982335,7436.001663584835,9188.34363479799,3850.5867130105617,12030.29653267396,20250526
530028,20250228,14089.3861864588,79465.46989076857,10077.027886731365,5613.120265135976,9389.675122716124,20250526
161024,20250228,10863.873115306817,12543.317738954915,14336.071889041636,2401.0,30199.580284443764,20250526
164402,20250228,14536.430822152504,10848.895277922942,17796.147776139944,2401.0,47559.29952690066,20250526
001338,20250228,13263.516599589553,14385.49680149241,8135.062061163123,3966.440621847663,11044.8318812852,20250526
100050,20250228,4153.06139317059,3795.224650728667,11765.386680150099,4520.985246464276,8902.240994072221,20250526
050027,20250228,19289.568592514086,45775.26089049022,13247.469001736921,5834.231688709225,13361.91005802723,20250526
000086,20250228,6894.076131747881,105749.38696900797,7802.335286393155,5296.641294654139,6653.686165849698,20250526
166016,20250228,29004.221067398743,36356.88289222251,6294.115192690646,3493.8414449450966,10779.92202876134,20250526
000402,20250228,5298.441560206185,3243.4833548790525,3261.427200997497,2636.9463753145847,3499.492855132273,20250526
000965,20250228,16683.39015383248,3217.9868934966025,5230.943651228221,2401.0,4406.544190173969,20250526
160717,20250228,5163.035266925883,10377.85402369237,4719.491029288822,2401.0,6167.66488975259,20250526
000385,20250228,5159.354937931725,3843.277222601916,2657.432737243096,2451.156265411184,2968.2602975377586,20250526
001480,20250228,38665.92170414184,23962.155227219246,10359.59839609015,2401.0,24002.809014205635,20250526
000192,20250228,4605.206003897383,12082.915566493999,3907.8072411557155,2741.497463777335,4886.207629810505,20250526
001480,20250206,32649.305624138975,19672.422132735395,12127.78335840274,2401.0,26642.723997890072,20250526
000402,20250206,10429.581505856626,2169.615330584123,3434.5016379797526,2711.8275602946624,3620.99817415655,20250526
050027,20250206,68978.11717390076,25382.468471066684,15035.433899704627,6757.530828039051,14018.180066013005,20250526
530028,20250206,84463.99021960895,36194.04842407291,11272.301141319022,6222.059712804155,10007.091685665066,20250526
164402,20250206,9701.00625132773,11666.945838704198,19011.907392656114,2401.0,48746.095666207555,20250526
168204,20250206,8843.123074607469,13817.234042291862,11686.26693752964,2401.0,40283.81533718536,20250526
000385,20250206,8437.394370653737,3332.0262106929267,2684.983361905578,2465.284790879123,3010.645873941576,20250526
001338,20250206,26475.42555701434,34239.23798597921,9992.25673392373,4895.391171364665,12611.685355679656,20250526
164906,20250206,8228.907545192304,72889.06796240289,60838.70061421671,2401.0,61020.252166479724,20250526
100050,20250206,4207.385192763342,8137.31569348857,12476.051511187441,5223.8793884942515,9624.91507175731,20250526
000086,20250206,19516.25797979249,42624.65087813768,9612.905825109563,6498.978811975764,7652.572916433,20250526
161028,20250206,33859.57069739861,73796.44297274074,73125.57278741003,2401.0,133761.67196443808,20250526
001016,20250206,6956.772098646433,4244.9083574187425,7314.194731475855,2401.0,7724.628396319488,20250526
166016,20250206,142007.8770276728,68338.09398698111,9357.179514139863,4639.664860394965,15320.1236878836,20250526
161024,20250206,5441.919445328416,12051.253867225709,14972.561961372297,2401.0,30985.83272673458,20250526
160717,20250206,3169.7046769837507,7098.3113885288185,4451.049045397977,2401.0,6158.481348198429,20250526
001316,20250206,72109.92184789765,10948.939981422414,9976.008929635602,4402.305632533587,13719.36175236609,20250526
000965,20250206,13262.724276814593,2821.99570748201,4096.423056152704,2401.0,3857.650975744531,20250526
000192,20250206,20164.38120674563,4713.9937307464115,4218.634801450377,2883.4891447301234,5126.392562765471,20250526
001407,20250206,9413.771688806071,3680.3897595354906,3622.4110267033434,2401.0,5145.466072147188,20250526
166016,20250124,51579.07187211535,95444.12121002958,7962.6940504542645,4034.9639703671683,12104.47129138064,20250526
001338,20250124,21385.176987711875,15488.95771837903,8063.006581276633,4282.919592329501,10079.147165551556,20250526
530028,20250124,11622.346931472239,77419.1005466863,8551.147136193933,5295.228442107345,7600.297372201624,20250526
000192,20250124,5525.304454359535,18534.602194525225,3645.7230937254435,2675.0933940780205,4285.745297423089,20250526
000385,20250124,3746.0663924771475,2479.8185294675814,2603.0379141915305,2437.734166216642,2813.5529436638244,20250526
161028,20250124,7627.760247983036,52075.528469742174,45825.729451984516,2401.0,91207.96610755201,20250526
161024,20250124,4431.288066132596,12611.327394538888,10566.581294195457,2401.0,21580.47332272746,20250526
001480,20250124,21160.91951440832,39708.12358583188,10320.03852477992,2401.0,19879.39885638758,20250526
100050,20250124,4188.485731533926,2762.912389975243,9216.600685733869,4231.350474371523,7537.425433869295,20250526
